longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-96.62503774810604,43.732233819148604,2014-01-01,7284.0,7706.0,7529.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-02,7288.0,7718.0,7541.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-03,7300.0,7717.0,7544.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-04,7007.0,7368.0,7336.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-05,7008.0,7375.0,7125.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-06,6910.0,7261.0,7033.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-07,6899.0,7318.0,7033.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-08,6898.0,7323.0,7033.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-09,6877.0,7317.0,7020.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-10,6904.0,7253.0,7120.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-11,6789.0,7199.0,6834.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-12,6989.0,6777.0,6608.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-13,6970.0,6758.0,6586.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-14,6942.0,6730.0,6520.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-15,6895.0,6683.0,6439.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-16,6878.0,6668.0,6421.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-17,6512.0,6334.0,6048.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-18,6434.0,6265.0,5980.0,MODIS/006/MCD43A4
-96.62503774810604,43.732233819148604,2014-01-19,6410.0,6240.0,5955.0,MODIS/006/MCD43A4
