longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-121.64760998725531,38.108780140560405,2012-01-01,749.0,1615.0,336.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-02,774.0,1676.0,350.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-03,757.0,1651.0,338.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-04,768.0,1681.0,325.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-05,764.0,1689.0,334.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-06,766.0,1695.0,335.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-07,780.0,1736.0,346.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-08,781.0,1721.0,350.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-09,757.0,1683.0,339.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-10,782.0,1715.0,347.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-11,798.0,1749.0,356.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-12,812.0,1773.0,354.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-13,822.0,1829.0,403.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-14,834.0,1854.0,375.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-15,835.0,1854.0,377.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-16,820.0,1836.0,381.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-17,822.0,1842.0,382.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-18,816.0,1828.0,377.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-19,838.0,1857.0,413.0,MODIS/006/MCD43A4
-121.64760998725531,38.108780140560405,2012-01-20,839.0,1975.0,409.0,MODIS/006/MCD43A4
