longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-123.1837291230997,44.13647569700239,2015-01-01,494.0,2318.0,285.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-02,495.0,2320.0,286.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-03,494.0,2318.0,286.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-04,494.0,2318.0,286.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-05,495.0,2317.0,286.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-06,495.0,2317.0,287.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-07,495.0,2316.0,287.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-08,503.0,2369.0,283.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-09,523.0,2387.0,296.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-10,533.0,2396.0,296.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-11,527.0,2396.0,292.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-12,332.0,1512.0,186.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-13,331.0,1511.0,186.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-14,331.0,1510.0,186.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-15,331.0,1509.0,186.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-16,331.0,1508.0,186.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-17,502.0,2321.0,275.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-18,,,,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-19,502.0,2320.0,277.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-20,502.0,2322.0,275.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-21,501.0,2324.0,274.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-22,501.0,2326.0,273.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-23,500.0,2328.0,271.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-24,500.0,2330.0,270.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-25,500.0,2330.0,271.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-26,500.0,2330.0,271.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-27,501.0,2330.0,272.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-28,,,,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-29,,,,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-30,,,,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-01-31,,,,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-01,,,,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-02,,,,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-03,,,,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-04,,,,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-05,,,,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-06,,,,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-07,,,,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-08,,,,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-09,494.0,2559.0,222.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-10,477.0,2525.0,250.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-11,477.0,2525.0,250.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-12,475.0,2512.0,252.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-13,475.0,2513.0,252.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-14,427.0,2327.0,223.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-15,442.0,2331.0,231.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-16,448.0,2405.0,235.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-17,469.0,2444.0,250.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-18,470.0,2441.0,251.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-19,470.0,2439.0,252.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-20,471.0,2437.0,253.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-21,470.0,2427.0,250.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-22,471.0,2447.0,250.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-23,472.0,2450.0,251.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-24,471.0,2463.0,253.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-25,485.0,2495.0,265.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-26,492.0,2532.0,270.0,MODIS/006/MCD43A4
-123.1837291230997,44.13647569700239,2015-02-27,515.0,2569.0,283.0,MODIS/006/MCD43A4
