longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-122.66719783473097,45.10665620385147,2015-01-01,580.0,2053.0,225.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-02,580.0,2053.0,225.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-03,580.0,2053.0,226.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-04,580.0,2053.0,226.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-05,580.0,2053.0,226.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-06,587.0,2016.0,232.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-07,607.0,1941.0,250.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-08,615.0,1931.0,247.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-09,594.0,2051.0,241.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-10,582.0,2013.0,247.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-11,583.0,2012.0,248.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-12,538.0,2066.0,218.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-13,542.0,2075.0,227.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-14,541.0,2081.0,226.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-15,541.0,2086.0,226.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-16,540.0,2091.0,226.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-17,538.0,2128.0,225.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-18,537.0,2129.0,225.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-19,537.0,2131.0,225.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-20,538.0,2132.0,226.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-21,538.0,2133.0,227.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-22,549.0,2141.0,232.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-23,599.0,2031.0,283.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-24,600.0,2027.0,283.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-25,531.0,2018.0,222.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-26,532.0,2017.0,223.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-27,533.0,2015.0,223.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-28,548.0,2063.0,234.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-29,545.0,2053.0,228.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-30,544.0,2053.0,228.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-01-31,544.0,2052.0,228.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-01,545.0,2051.0,229.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-02,547.0,2024.0,229.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-03,548.0,2022.0,229.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-04,549.0,2021.0,230.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-05,515.0,1994.0,226.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-06,515.0,1992.0,226.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-07,483.0,2057.0,212.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-08,514.0,2024.0,232.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-09,582.0,2119.0,268.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-10,583.0,2139.0,285.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-11,583.0,2137.0,285.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-12,538.0,2046.0,267.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-13,539.0,2047.0,267.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-14,586.0,1937.0,290.0,MODIS/006/MCD43A4
-122.66719783473097,45.10665620385147,2015-02-15,593.0,1907.0,297.0,MODIS/006/MCD43A4
