#
# ROI IR statistics timeseries for blackrockforest
#
# Site: blackrockforest
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 41.3974
# Lon: -74.0239
# Elev: 427
# UTC Offset: -5
# Resize Flag: False
# Version: 1
# Creation Date: 2020-07-24
# Creation Time: 11:53:06
# Update Date: 2020-07-27
# Update Time: 08:27:46
#
date,local_std_time,doy,filename,solar_elev,exposure,awbflag,mask_index,ir_mean,ir_std,ir_5_qtl,ir_10_qtl,ir_25_qtl,ir_50_qtl,ir_75_qtl,ir_90_qtl,ir_95_qtl
2020-05-27,08:48:07,148,blackrockforest_IR_2020_05_27_084807.jpg,46.39894,14,0,1,95.18943,46.27233,21,38,64,92,123,156,178
2020-05-27,09:18:27,148,blackrockforest_IR_2020_05_27_091827.jpg,51.86361,12,0,1,107.60501,49.30934,30,48,75,104,137,173,197
2020-05-27,09:48:05,148,blackrockforest_IR_2020_05_27_094805.jpg,56.96119,12,0,1,110.60419,49.50090,33,51,77,106,141,177,201
2020-05-27,10:18:07,148,blackrockforest_IR_2020_05_27_101807.jpg,61.71501,11,0,1,111.29823,48.65378,36,53,79,107,141,176,200
2020-05-27,10:48:07,148,blackrockforest_IR_2020_05_27_104807.jpg,65.77287,11,0,1,115.97335,49.00922,40,57,83,112,146,182,204
2020-05-27,11:18:07,148,blackrockforest_IR_2020_05_27_111807.jpg,68.71587,11,0,1,119.52100,48.56563,45,62,87,115,149,185,208
2020-05-27,11:48:07,148,blackrockforest_IR_2020_05_27_114807.jpg,70.02804,12,0,1,76.29146,36.26772,19,32,52,74,98,124,141
2020-05-27,12:18:06,148,blackrockforest_IR_2020_05_27_121806.jpg,69.39006,10,0,1,101.52880,43.84678,32,49,73,98,128,159,179
2020-05-27,12:48:06,148,blackrockforest_IR_2020_05_27_124806.jpg,66.96569,10,0,1,104.31655,45.06248,34,51,75,101,132,164,185
2020-05-27,13:18:06,148,blackrockforest_IR_2020_05_27_131806.jpg,63.24580,10,0,1,108.16042,44.19586,39,56,79,105,134,166,187
