"datetime","solar_elev","exposure_rgb","r","g","b","ir","exposure_ir","Y","Z_prime","R_prime","Y_prime","X_prime","NDVI_c","EVI2_c","year","d1","d3"
2018-06-20 08:47:46,42.33211,17,89,58,32,74,8,64.44,26.1629509039023,21.5856706282336,15.6289956773413,10.533955226561,-0.34407982993435,-0.436209004909853,2018,171,170
2018-06-20 09:04:08,45.80441,18,60,35,11,51,8,39.86,18.031222920257,14.142135623731,9.39509209936526,8.6361308208917,-0.241721854304636,-0.315876059444821,2018,171,170
2018-06-20 09:34:06,52.17031,18,66,39,11,63,8,44.02,22.2738636073762,15.556349186104,10.3756135026106,11.8982501047656,-0.133241758241758,-0.182054801286746,2018,171,170
2018-06-20 10:04:12,58.54732,15,65,37,10,71,8,42.43,25.1022907321224,16.7829278335655,10.955378891972,14.1469118401504,-0.0852256597907673,-0.118898121441964,2018,171,170
2018-06-20 10:34:05,64.80936,13,63,37,10,52,6,41.83,21.2289111041209,17.4730561810947,11.6015546040507,9.62735650007021,-0.289504804717507,-0.373159149665032,2018,171,170
2018-06-20 11:04:12,70.94185,11,59,35,10,56,6,39.45,22.8619042659763,17.7891693300881,11.8946225435928,10.9672817223836,-0.237229816546439,-0.312007265242392,2018,171,170
2018-06-20 11:34:05,76.56548,11,60,36,10,59,6,40.34,24.0866491373679,18.0906806746658,12.162967640267,11.9236814971009,-0.205468273564244,-0.273644623170184,2018,171,170
2018-06-20 12:04:05,80.81043,11,61,36,10,60,6,40.64,24.4948974278318,18.3921920192436,12.2534210436403,12.2414763841915,-0.20078286263497,-0.267968901969536,2018,171,170
2018-06-20 12:34:05,81.26244,11,61,37,11,60,6,41.34,24.4948974278318,18.3921920192436,12.4644789848447,12.030418442987,-0.209113336416499,-0.278187279757824,2018,171,170
2018-06-20 13:04:05,77.50175,11,61,37,11,59,6,41.34,24.0866491373679,18.3921920192436,12.4644789848447,11.6221701525232,-0.225559411456982,-0.298168281392052,2018,171,170
2018-06-20 13:34:05,72.00746,11,60,36,11,57,6,40.45,23.2701525564402,18.0906806746658,12.1961338881705,11.0740186682697,-0.240587496681868,-0.31611340251896,2018,171,170
2018-06-20 14:04:05,65.95263,11,58,35,10,53,6,39.15,21.6371593945847,17.4876579855103,11.8041691402194,9.8329902543653,-0.280178847292968,-0.362413791737366,2018,171,170
2018-06-20 14:34:05,59.68782,11,56,33,10,47,6,37.37,19.1876696518016,16.8846352963548,11.267478946871,7.92019070493054,-0.361399212837039,-0.453268784463952,2018,171,170
2018-06-20 15:04:06,53.33628,13,58,35,10,65,8,39.15,22.9809703885628,16.0863056905316,10.8582563411089,12.1227140474539,-0.140507953835079,-0.191552450806621,2018,171,170
2018-06-20 15:34:05,46.96731,13,55,32,9,56,8,36.37,19.7989898732233,15.2542553961938,10.0872230683558,9.71176680486754,-0.222001268231294,-0.292807307509933,2018,171,170
2018-06-20 16:04:05,40.60436,15,54,32,9,48,8,36.07,16.9705627484771,13.9427400463467,9.3132339531801,7.65732879529704,-0.290990334203553,-0.373066562293885,2018,171,170
2018-06-20 16:34:05,34.27544,17,53,31,10,51,10,35.29,16.1276160668587,12.8543881269256,8.55908220753219,7.56853385932654,-0.258819686583404,-0.335234626873817,2018,171,170
