#
# ROI color statistics timeseries for luckyhills
#
# Site: luckyhills
# Veg Type: SH
# ROI ID Number: 3000
# Lat: 31.743896
# Lon: -110.052023
# Elev: 1366
# UTC Offset: -7
# Resize Flag: False
# Version: 1
# Creation Date: 2019-08-13
# Creation Time: 11:48:12
# Update Date: 2020-07-29
# Update Time: 10:56:17
#
date,local_std_time,doy,filename,solar_elev,exposure,awbflag,mask_index,gcc,rcc,r_mean,r_std,r_5_qtl,r_10_qtl,r_25_qtl,r_50_qtl,r_75_qtl,r_90_qtl,r_95_qtl,g_mean,g_std,g_5_qtl,g_10_qtl,g_25_qtl,g_50_qtl,g_75_qtl,g_90_qtl,g_95_qtl,b_mean,b_std,b_5_qtl,b_10_qtl,b_25_qtl,b_50_qtl,b_75_qtl,b_90_qtl,b_95_qtl,r_g_correl,g_b_correl,b_r_correl
2018-06-20,08:47:46,171,luckyhills_2018_06_20_084746.jpg,42.33211,17,0,1,0.32709,0.46393,125.03375,32.69121,79,89,103,119,143,172,191,88.15461,23.70211,50,58,73,87,102,121,131,56.32277,18.68490,25,32,44,57,68,81,88,0.96232,0.98933,0.92386
2018-06-20,09:04:08,171,luckyhills_2018_06_20_090408.jpg,45.80441,18,0,1,0.32810,0.45686,126.25344,55.69625,44,60,86,118,164,211,230,90.66944,43.46584,19,35,60,88,122,152,164,59.42745,35.61165,0,11,32,58,86,108,119,0.97256,0.97963,0.92927
2018-06-20,09:34:06,171,luckyhills_2018_06_20_093406.jpg,52.17031,18,0,1,0.32743,0.46042,136.82061,59.37322,49,66,93,128,180,229,246,97.30220,46.38166,22,39,64,94,131,163,176,63.04320,38.14200,0,11,34,61,91,116,127,0.97343,0.98067,0.93255
2018-06-20,10:04:12,171,luckyhills_2018_06_20_100412.jpg,58.54732,15,0,1,0.32668,0.46505,134.77265,58.91723,49,65,90,126,178,225,242,94.67231,45.33157,22,37,62,91,128,159,171,60.35515,36.97664,0,10,32,58,88,112,122,0.97479,0.98069,0.93440
2018-06-20,10:34:05,171,luckyhills_2018_06_20_103405.jpg,64.80936,13,NA,1,0.32623,0.46672,130.68942,56.92094,49,63,87,122,174,217,233,91.35001,43.18859,23,37,59,88,124,153,163,57.97506,35.11692,0,10,31,56,85,106,116,0.97598,0.98110,0.93628
2018-06-20,11:04:12,171,luckyhills_2018_06_20_110412.jpg,70.94185,11,0,1,0.32619,0.46779,122.51278,53.29623,46,59,81,114,164,202,218,85.42920,40.17885,22,35,55,82,116,143,152,53.95462,32.62692,0,10,29,52,79,99,107,0.97710,0.98135,0.93826
2018-06-20,11:34:05,171,luckyhills_2018_06_20_113405.jpg,76.56548,11,0,1,0.32595,0.46856,125.34367,54.47796,47,60,83,117,168,206,221,87.19444,40.89880,23,36,56,84,119,145,155,54.97295,33.19537,0,10,29,53,81,101,109,0.97802,0.98169,0.93988
2018-06-20,12:04:05,171,luckyhills_2018_06_20_120405.jpg,80.81043,11,0,1,0.32565,0.46910,127.08585,55.22323,48,61,83,118,172,209,223,88.22361,41.31208,24,36,57,85,121,146,156,55.60675,33.53514,0,10,29,54,82,101,110,0.97858,0.98201,0.94105
2018-06-20,12:34:05,171,luckyhills_2018_06_20_123405.jpg,81.26244,11,0,1,0.32558,0.46943,127.73833,55.48386,48,61,84,119,173,210,224,88.59551,41.38400,24,37,57,85,122,146,156,55.78036,33.56732,0,11,29,54,83,101,110,0.97908,0.98207,0.94170
2018-06-20,13:04:05,171,luckyhills_2018_06_20_130405.jpg,77.50175,11,0,1,0.32546,0.46929,127.27420,55.29774,48,61,83,119,173,209,222,88.26733,41.16650,24,37,57,85,122,145,155,55.66420,33.37859,0,11,29,54,82,101,110,0.97924,0.98199,0.94148
2018-06-20,13:34:05,171,luckyhills_2018_06_20_133405.jpg,72.00746,11,0,1,0.32565,0.46927,125.18954,54.61430,47,60,82,116,170,206,218,86.87668,40.61724,23,36,56,83,120,143,153,54.71000,32.87578,0,11,29,53,81,99,108,0.97926,0.98173,0.94113
2018-06-20,14:04:05,171,luckyhills_2018_06_20_140405.jpg,65.95263,11,0,1,0.32581,0.46814,122.13029,53.50686,45,58,80,114,166,201,213,84.99821,39.84945,22,35,55,82,117,140,149,53.75449,32.26343,0,10,29,52,79,97,106,0.97884,0.98139,0.93987
2018-06-20,14:34:05,171,luckyhills_2018_06_20_143405.jpg,59.68782,11,0,1,0.32616,0.46763,117.54687,51.72660,42,56,77,109,160,194,205,81.98504,38.59817,21,33,53,79,113,135,145,51.83318,31.23618,0,10,28,50,76,94,103,0.97815,0.98101,0.93840
2018-06-20,15:04:06,171,luckyhills_2018_06_20_150406.jpg,53.33628,13,0,1,0.32625,0.46653,122.94076,54.31201,44,58,81,114,166,204,216,85.97395,40.75814,21,35,56,83,118,142,153,54.60652,33.03106,0,10,29,52,80,99,109,0.97731,0.98046,0.93635
2018-06-20,15:34:05,171,luckyhills_2018_06_20_153405.jpg,46.96731,13,0,1,0.32689,0.46464,115.43777,51.18460,40,55,77,107,155,192,204,81.21236,38.60705,19,32,53,78,111,135,145,51.79282,31.31556,0,9,28,50,75,94,104,0.97598,0.97977,0.93349
2018-06-20,16:04:05,171,luckyhills_2018_06_20_160405.jpg,40.60436,15,0,1,0.32728,0.46212,115.45857,51.32414,39,54,78,108,153,192,206,81.76970,39.11390,18,32,54,79,111,136,147,52.61830,31.83476,0,9,29,51,76,96,106,0.97441,0.97891,0.92986
2018-06-20,16:34:05,171,luckyhills_2018_06_20_163405.jpg,34.27544,17,0,1,0.32832,0.45889,112.09787,49.69561,37,53,77,105,146,186,201,80.20073,38.31918,16,31,54,78,107,133,144,51.98041,31.25225,0,10,29,50,74,94,105,0.97240,0.97796,0.92587
2018-06-20,17:04:05,171,luckyhills_2018_06_20_170405.jpg,28.00164,23,0,1,0.32929,0.45385,117.45490,51.80615,37,55,81,112,151,193,211,85.21989,40.80162,16,33,57,84,113,140,154,56.12367,33.52763,0,10,32,55,79,101,113,0.97026,0.97711,0.92225
