#
# 3-day summary product time series for blackrockforest
#
# Site: blackrockforest
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 41.3974
# Lon: -74.0239
# Elev: 427
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2020-06-18
# Creation Time: 09:28:02
# Update Date: 2020-08-19
# Update Time: 05:17:36
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90
2020-05-22,2020,143,17,blackrockforest_2020_05_22_150307.jpg,96.77124,79.94816,48.29055,0.35531,0.43008,78.60571,15.15687,70.63752,11.16911,48.41683,14.30840,0.35772,0.00406,0.35785,0.36075,0.36191,0.39919,0.05076,0.41932,0.43489,0.44543,69.31072,NA,NA,NA,NA,NA
2020-05-25,2020,146,39,blackrockforest_2020_05_25_120005.jpg,104.21696,86.43489,49.81871,0.35944,0.43339,95.88806,15.58774,80.86860,11.94615,49.95103,6.64645,0.35673,0.00326,0.35604,0.35970,0.36113,0.42172,0.01454,0.42391,0.42867,0.43364,69.84368,NA,NA,NA,NA,NA
2020-05-28,2020,149,73,blackrockforest_2020_05_28_114805.jpg,61.70663,58.49957,29.49488,0.39078,0.41220,78.38723,18.67828,75.36680,12.04832,45.03553,9.45396,0.37997,0.01436,0.37429,0.39415,0.39850,0.39119,0.04004,0.40993,0.42104,0.42616,70.33408,NA,NA,NA,NA,NA
2020-05-31,2020,152,78,blackrockforest_2020_05_31_114805.jpg,104.71766,103.18045,50.71515,0.39898,0.40492,96.63637,10.13036,96.14393,8.18534,48.14379,5.61603,0.39953,0.01028,0.39731,0.40833,0.41517,0.40073,0.00893,0.40100,0.40569,0.41307,70.74533,NA,NA,NA,NA,NA
2020-06-03,2020,155,74,blackrockforest_2020_06_03_114805.jpg,75.90713,84.82117,34.38382,0.43473,0.38904,87.85119,6.29535,94.19363,5.46288,38.83405,3.34195,0.42668,0.01129,0.42414,0.43389,0.44385,0.39763,0.01211,0.39810,0.40719,0.41089,71.09653,NA,NA,NA,NA,NA
2020-06-06,2020,158,78,blackrockforest_2020_06_06_114805.jpg,70.64952,89.16353,34.05060,0.45993,0.36443,75.03821,10.19198,89.66887,9.90206,37.99464,5.64146,0.44306,0.01443,0.44096,0.45604,0.46044,0.36962,0.01248,0.37170,0.37619,0.38109,71.38728,NA,NA,NA,NA,NA
2020-06-09,2020,161,78,blackrockforest_2020_06_09_114805.jpg,87.30686,103.00031,44.08477,0.43944,0.37248,81.52034,7.03378,95.79918,6.59297,44.42720,3.76797,0.43231,0.00933,0.43279,0.43779,0.44188,0.36731,0.00675,0.36735,0.37143,0.37285,71.61647,NA,NA,NA,NA,NA
2020-06-12,2020,164,78,blackrockforest_2020_06_12_114805.jpg,87.43982,104.83751,48.48519,0.43544,0.36318,74.71808,12.53203,91.12238,11.74426,45.26710,7.49313,0.43271,0.01699,0.42785,0.44840,0.45850,0.35261,0.01687,0.35865,0.36040,0.36444,71.78335,NA,NA,NA,NA,NA
2020-06-15,2020,167,79,blackrockforest_2020_06_15_114805.jpg,77.94043,93.92499,41.64378,0.43991,0.36504,80.30567,6.87905,94.50422,7.17273,48.40829,4.32503,0.42352,0.01026,0.42143,0.42791,0.44216,0.35952,0.00680,0.35952,0.36219,0.36719,71.88743,NA,NA,NA,NA,NA
2020-06-18,2020,170,78,blackrockforest_2020_06_18_114805.jpg,71.24970,87.43025,39.30635,0.44160,0.35987,76.99285,10.55269,92.62152,10.20602,46.48768,4.97754,0.42884,0.01379,0.42871,0.44167,0.44584,0.35527,0.01258,0.35967,0.36283,0.36638,71.92857,NA,NA,NA,NA,NA
