#
# 3-day summary product time series for luckyhills
#
# Site: luckyhills
# Veg Type: SH
# ROI ID Number: 3000
# Lat: 31.743896
# Lon: -110.052023
# Elev: 1366
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2019-08-13
# Creation Time: 12:23:48
# Update Date: 2019-08-13
# Update Time: 12:23:48
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90
2018-06-19,2018,170,20,luckyhills_2018_06_20_084746.jpg,125.03375,88.15461,56.32277,0.32709,0.46393,123.45890,6.33083,87.21680,4.20797,55.89377,2.98817,0.32719,0.00188,0.32647,0.32760,0.32946,0.46312,0.00690,0.46579,0.46825,0.46927,81.26244,NA,NA,NA,NA,NA
2018-06-22,2018,173,72,luckyhills_2018_06_22_120406.jpg,127.58632,88.72506,56.04253,0.32577,0.46846,125.13501,6.61020,89.67170,5.52504,58.21981,4.84353,0.32838,0.00276,0.32744,0.33011,0.33296,0.45859,0.01093,0.46236,0.46768,0.46880,81.28816,NA,NA,NA,NA,NA
2018-06-25,2018,176,71,luckyhills_2018_06_25_120405.jpg,127.14575,88.55136,55.98850,0.32593,0.46799,125.51809,7.08978,90.01146,5.82804,58.29491,4.85782,0.32866,0.00278,0.32775,0.33041,0.33324,0.45864,0.01020,0.46268,0.46714,0.46820,81.28280,NA,NA,NA,NA,NA
2018-06-28,2018,179,61,luckyhills_2018_06_28_120405.jpg,133.35888,92.35890,57.81855,0.32574,0.47034,127.16455,7.73176,90.33445,5.61545,57.81463,4.74220,0.32809,0.00250,0.32734,0.32909,0.33183,0.46203,0.01140,0.46486,0.46889,0.47073,81.22346,NA,NA,NA,NA,NA
2018-07-01,2018,182,71,luckyhills_2018_07_01_120405.jpg,124.89019,85.27319,52.67102,0.32444,0.47517,125.69532,6.81883,88.87801,5.78386,56.95363,5.46662,0.32724,0.00294,0.32630,0.32919,0.33142,0.46328,0.01391,0.46808,0.47457,0.47650,81.10226,NA,NA,NA,NA,NA
2018-07-04,2018,185,56,luckyhills_2018_07_04_120405.jpg,126.27896,86.23323,52.85723,0.32496,0.47586,125.67929,6.25784,88.96011,4.46498,56.86802,5.44902,0.32761,0.00273,0.32698,0.32953,0.33124,0.46315,0.01699,0.47144,0.47540,0.47689,80.91601,NA,NA,NA,NA,NA
2018-07-07,2018,188,72,luckyhills_2018_07_07_120405.jpg,142.04083,105.13908,72.75775,0.32862,0.44396,128.47895,6.67554,91.52789,5.18818,58.67006,5.72128,0.32838,0.00300,0.32766,0.33019,0.33264,0.46135,0.01615,0.46495,0.47316,0.47541,80.66593,NA,NA,NA,NA,NA
2018-07-10,2018,191,72,luckyhills_2018_07_10_120405.jpg,122.49021,88.67442,57.55430,0.32999,0.45583,127.03570,7.04078,91.26954,4.36303,58.63706,4.53275,0.32957,0.00218,0.32953,0.33025,0.33147,0.45875,0.01360,0.46117,0.46599,0.47171,80.35270,NA,NA,NA,NA,NA
2018-07-13,2018,194,72,luckyhills_2018_07_13_120405.jpg,122.03283,85.74090,53.35125,0.32835,0.46733,125.90537,5.81640,91.20441,4.07531,58.19058,3.77165,0.33130,0.00235,0.33144,0.33327,0.33385,0.45742,0.00966,0.45739,0.46475,0.46816,79.97748,NA,NA,NA,NA,NA
2018-07-16,2018,197,72,luckyhills_2018_07_16_120405.jpg,124.13611,88.92553,54.26526,0.33265,0.46436,121.80286,5.56979,90.95153,4.60222,57.66027,4.58290,0.33631,0.00282,0.33590,0.33758,0.34002,0.45065,0.01189,0.45437,0.45938,0.46323,79.54176,NA,NA,NA,NA,NA
2018-07-19,2018,200,72,luckyhills_2018_07_19_120405.jpg,119.90285,87.54780,54.04917,0.33479,0.45852,121.96207,6.90172,93.39486,5.47433,59.80895,5.56630,0.33935,0.00454,0.33872,0.34170,0.34575,0.44351,0.01662,0.44633,0.45781,0.45991,79.04731,NA,NA,NA,NA,NA
2018-07-22,2018,203,72,luckyhills_2018_07_22_120405.jpg,116.87189,86.05554,52.04104,0.33751,0.45838,120.44552,5.79971,92.71479,6.09693,57.77379,5.67974,0.34204,0.00512,0.34042,0.34427,0.34917,0.44505,0.01608,0.45113,0.45699,0.45825,78.49615,NA,NA,NA,NA,NA
2018-07-25,2018,206,72,luckyhills_2018_07_25_120405.jpg,117.39699,85.83677,50.57696,0.33819,0.46254,122.03996,7.31093,92.17149,6.25560,55.96596,4.77723,0.34104,0.00496,0.33967,0.34414,0.34864,0.45196,0.01317,0.45492,0.46141,0.46421,77.89053,NA,NA,NA,NA,NA
2018-07-28,2018,209,72,luckyhills_2018_07_28_120406.jpg,119.78661,86.73940,52.05783,0.33544,0.46324,121.28688,6.62888,92.14197,5.05636,56.81961,5.42951,0.34090,0.00402,0.34159,0.34295,0.34637,0.44907,0.01730,0.45246,0.46107,0.46537,77.23277,NA,NA,NA,NA,NA
2018-07-31,2018,212,62,luckyhills_2018_07_31_120405.jpg,116.52747,83.75018,50.00146,0.33463,0.46559,121.47210,5.81315,90.84025,5.91803,55.17682,5.02494,0.33943,0.00528,0.33774,0.34291,0.34756,0.45455,0.01503,0.45941,0.46526,0.46595,76.52521,NA,NA,NA,NA,NA
2018-08-03,2018,215,66,luckyhills_2018_08_03_120406.jpg,135.50360,97.11317,58.50964,0.33358,0.46545,123.64644,6.64188,92.19495,4.90525,56.34541,4.39435,0.33868,0.00437,0.33811,0.34116,0.34509,0.45439,0.01396,0.46003,0.46450,0.46652,75.77008,NA,NA,NA,NA,NA
2018-08-06,2018,218,43,luckyhills_2018_08_06_093405.jpg,129.25382,94.11333,56.89730,0.33580,0.46119,121.29159,6.47731,91.79210,5.54843,57.69693,5.56642,0.33886,0.00492,0.33863,0.34136,0.34484,0.44829,0.01803,0.45204,0.46261,0.46672,74.96966,NA,NA,NA,NA,NA
2018-08-09,2018,221,71,luckyhills_2018_08_09_120405.jpg,118.24404,87.78422,50.99151,0.34155,0.46006,120.96031,5.83040,92.30398,4.08054,56.38269,4.31692,0.34230,0.00311,0.34305,0.34443,0.34549,0.44870,0.01368,0.45202,0.45791,0.46280,74.12623,NA,NA,NA,NA,NA
2018-08-12,2018,224,69,luckyhills_2018_08_12_120405.jpg,115.18363,94.87309,66.87734,0.34258,0.41592,121.81205,7.21702,93.58193,4.50344,58.53295,5.84461,0.34159,0.00460,0.34120,0.34488,0.34793,0.44484,0.02076,0.44917,0.45953,0.46230,73.24215,NA,NA,NA,NA,NA
2018-08-15,2018,227,68,luckyhills_2018_08_15_120413.jpg,111.51850,82.65816,49.35412,0.33942,0.45792,123.01161,6.42388,93.61460,5.06467,58.43972,4.45263,0.34033,0.00365,0.34066,0.34225,0.34451,0.44737,0.01094,0.44784,0.45672,0.46075,72.31983,NA,NA,NA,NA,NA
2018-08-18,2018,230,69,luckyhills_2018_08_18_120405.jpg,129.46465,93.42351,57.15020,0.33361,0.46231,122.60580,7.38810,92.98909,5.55021,58.78960,5.41758,0.33887,0.00438,0.33858,0.34143,0.34409,0.44705,0.01607,0.45215,0.45947,0.46187,71.36164,NA,NA,NA,NA,NA
