#
# 3-day summary product time series for morganmonroe2
#
# Site: morganmonroe2
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 39.3231
# Lon: -86.4131
# Elev: 275
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2018-05-25
# Creation Time: 17:19:09
# Update Date: 2020-08-19
# Update Time: 05:31:43
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90
2017-04-05,2017,95,54,morganmonroe2_2017_04_05_121405.jpg,57.76840,44.72192,31.77611,0.33308,0.43025,70.44920,29.16604,57.46931,23.81906,44.35491,19.02332,0.33365,0.00207,0.33355,0.33431,0.33547,0.40877,0.02188,0.40767,0.42124,0.43270,57.39351,NA,NA,NA,NA,NA
2017-04-08,2017,98,62,morganmonroe2_2017_04_08_121405.jpg,71.10143,53.84937,36.61106,0.33330,0.44009,61.58218,11.09503,49.94074,10.88726,37.80433,18.12166,0.33497,0.00270,0.33493,0.33635,0.33726,0.41661,0.03572,0.42279,0.43341,0.44036,58.51765,NA,NA,NA,NA,NA
2017-04-11,2017,101,60,morganmonroe2_2017_04_11_121405.jpg,52.60522,42.23432,27.15160,0.34621,0.43122,57.83727,10.74327,47.39214,8.05983,31.74589,4.64405,0.34590,0.00217,0.34643,0.34700,0.34798,0.42111,0.01378,0.42049,0.43063,0.43860,59.62095,NA,NA,NA,NA,NA
2017-04-14,2017,104,63,morganmonroe2_2017_04_14_121405.jpg,68.36415,54.44630,27.50314,0.36222,0.45481,60.84043,9.86088,51.40791,6.94118,30.57176,3.49388,0.36021,0.00706,0.36171,0.36674,0.36860,0.42450,0.01481,0.42548,0.43434,0.44092,60.34359,NA,NA,NA,NA,NA
2017-04-17,2017,107,53,morganmonroe2_2017_04_17_121406.jpg,45.98021,42.11304,22.24947,0.38166,0.41670,55.81131,10.27185,50.81586,8.51836,26.59554,4.06532,0.38144,0.00301,0.38136,0.38270,0.38430,0.41799,0.01257,0.41757,0.42398,0.43670,61.75522,NA,NA,NA,NA,NA
2017-04-20,2017,110,60,morganmonroe2_2017_04_20_121405.jpg,54.65767,55.47627,28.29281,0.40076,0.39485,50.71825,8.36765,50.09050,7.38575,25.83470,3.18583,0.39543,0.00871,0.39460,0.40093,0.40347,0.39953,0.01318,0.39991,0.40581,0.41422,62.78165,NA,NA,NA,NA,NA
2017-04-23,2017,113,61,morganmonroe2_2017_04_23_121405.jpg,65.53426,63.91847,30.36838,0.39994,0.41005,56.22591,8.46938,55.43766,7.98849,28.44654,3.64966,0.39554,0.00571,0.39701,0.39994,0.40167,0.40074,0.00691,0.40185,0.40628,0.40923,63.77777,NA,NA,NA,NA,NA
2017-04-26,2017,116,56,morganmonroe2_2017_04_26_121406.jpg,67.18612,69.04367,33.97691,0.40565,0.39473,53.30893,9.75209,55.22998,9.01820,28.52112,3.67969,0.40291,0.00647,0.40349,0.40691,0.40990,0.38760,0.01106,0.38846,0.39457,0.39939,64.74123,NA,NA,NA,NA,NA
2017-04-29,2017,119,58,morganmonroe2_2017_04_29_121405.jpg,38.23834,41.28208,22.66336,0.40400,0.37421,44.75303,5.17292,50.35226,6.48402,29.53540,7.11337,0.40447,0.01057,0.40658,0.41081,0.41535,0.36055,0.02085,0.36427,0.37712,0.38178,65.66967,NA,NA,NA,NA,NA
2017-05-02,2017,122,44,morganmonroe2_2017_05_02_121405.jpg,63.05092,68.21699,36.47186,0.40668,0.37589,44.29151,7.04879,48.30995,7.48922,27.31465,3.67344,0.40262,0.00680,0.40339,0.40674,0.41057,0.36897,0.00741,0.37038,0.37479,0.37776,66.56070,NA,NA,NA,NA,NA
2017-05-05,2017,125,58,morganmonroe2_2017_05_05_121405.jpg,37.64578,42.44573,24.14991,0.40719,0.36114,46.89312,7.40350,53.13030,7.42416,33.70982,7.32065,0.39789,0.01299,0.40159,0.40674,0.41099,0.35089,0.02124,0.34690,0.37126,0.37842,67.41203,NA,NA,NA,NA,NA
2017-05-08,2017,128,59,morganmonroe2_2017_05_08_121405.jpg,49.25004,52.11272,25.17952,0.41182,0.38920,51.98586,8.55107,55.61093,9.01458,30.52170,4.31947,0.40228,0.00761,0.40370,0.40687,0.41018,0.37594,0.00840,0.37656,0.37992,0.38503,68.22157,NA,NA,NA,NA,NA
2017-05-11,2017,131,63,morganmonroe2_2017_05_11_121405.jpg,43.24584,48.84055,33.43541,0.38910,0.34453,48.42693,8.38412,53.53873,8.17685,31.61191,3.94148,0.40059,0.00806,0.40232,0.40592,0.40979,0.36142,0.01409,0.36585,0.37052,0.37907,68.98731,NA,NA,NA,NA,NA
2017-05-14,2017,134,66,morganmonroe2_2017_05_14_121405.jpg,64.59319,69.64024,38.47771,0.40322,0.37400,53.63084,7.38460,57.64428,8.26821,33.89990,3.43681,0.39636,0.00589,0.39745,0.40106,0.40336,0.36909,0.00347,0.36908,0.37216,0.37352,69.70727,NA,NA,NA,NA,NA
2017-05-17,2017,137,67,morganmonroe2_2017_05_17_121405.jpg,46.19780,48.51622,28.42788,0.39399,0.37516,50.37935,8.10717,53.89488,8.49671,33.02537,4.31591,0.39217,0.00412,0.39276,0.39499,0.39635,0.36641,0.00652,0.36736,0.37137,0.37418,70.37946,NA,NA,NA,NA,NA
2017-05-20,2017,140,56,morganmonroe2_2017_05_20_121405.jpg,47.01506,51.78466,32.47089,0.39449,0.35815,48.01885,8.67294,52.78106,9.05714,35.15879,8.74920,0.38910,0.01270,0.39309,0.39706,0.39952,0.35360,0.01430,0.35901,0.36335,0.36741,71.00179,NA,NA,NA,NA,NA
2017-05-23,2017,143,60,morganmonroe2_2017_05_23_121405.jpg,60.74612,65.46356,37.58155,0.39968,0.37088,45.29047,6.08197,49.71391,6.10462,32.38573,3.70262,0.39001,0.00670,0.39080,0.39530,0.39788,0.35503,0.01402,0.36214,0.36640,0.36804,71.57249,NA,NA,NA,NA,NA
2017-05-26,2017,146,63,morganmonroe2_2017_05_26_121405.jpg,52.93210,57.42577,34.94492,0.39521,0.36429,45.47145,6.98163,50.55090,7.09286,33.41313,4.47882,0.39035,0.00691,0.39097,0.39520,0.39795,0.35076,0.01385,0.35317,0.36106,0.36476,72.08940,NA,NA,NA,NA,NA
2017-05-29,2017,149,57,morganmonroe2_2017_05_29_114405.jpg,58.44626,63.90500,39.27749,0.39538,0.36161,47.03721,7.84943,51.08111,8.94082,32.74037,4.29627,0.38959,0.00664,0.38987,0.39337,0.39531,0.35907,0.00785,0.35970,0.36379,0.36692,72.55065,NA,NA,NA,NA,NA
