#
# 1-day summary product time series for oregonYP
#
# Site: oregonYP
# Veg Type: EN
# ROI ID Number: 1000
# Lat: 44.32384
# Lon: -121.605993
# Elev: 977
# UTC Offset: -8
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2018-07-17
# Creation Time: 20:33:16
# Update Date: 2020-03-31
# Update Time: 05:50:59
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90
2011-11-12,2011,316,7,oregonYP_2011_11_12_120438.jpg,64.95967,53.28501,19.20806,0.38766,0.47260,72.05094,7.85414,60.26774,7.48333,25.24141,4.62248,0.38261,0.00344,0.38238,0.38482,0.38725,0.45824,0.00912,0.46001,0.46356,0.46761,27.85899,NA,NA,NA,NA,NA
2011-11-13,2011,317,14,oregonYP_2011_11_13_120924.jpg,78.28768,66.19817,25.27785,0.38994,0.46116,92.69059,18.17911,76.55633,14.86787,32.45420,9.46337,0.38102,0.00755,0.37713,0.38956,0.39049,0.46109,0.00992,0.45898,0.46487,0.47636,27.57426,NA,NA,NA,NA,NA
2011-11-14,2011,318,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-11-15,2011,319,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-11-16,2011,320,3,oregonYP_2011_11_16_093409.jpg,82.90037,69.22918,32.36069,0.37525,0.44935,73.18298,8.03132,63.69024,4.08951,35.53053,3.39047,0.36920,0.00438,0.36731,0.37128,0.37366,0.42328,0.02584,0.43243,0.44089,0.44596,19.61576,NA,NA,NA,NA,NA
2011-11-17,2011,321,6,oregonYP_2011_11_17_123650.jpg,70.61993,53.81144,17.44561,0.37928,0.49775,78.29890,6.42079,62.90418,5.93803,22.02820,4.01011,0.38551,0.00584,0.38637,0.39067,0.39155,0.48047,0.01006,0.48084,0.48468,0.49168,25.81151,NA,NA,NA,NA,NA
2011-11-18,2011,322,3,oregonYP_2011_11_18_113622.jpg,72.45462,70.90077,60.03436,0.34860,0.35624,69.45457,4.58159,68.70630,3.99059,58.49323,3.10237,0.34940,0.00062,0.34951,0.34981,0.34998,0.35304,0.00281,0.35347,0.35485,0.35568,26.33256,NA,NA,NA,NA,NA
2011-11-19,2011,323,2,oregonYP_2011_11_19_143607.jpg,61.47021,54.01060,37.20533,0.35374,0.40259,59.81865,1.65156,54.47516,0.46456,37.56887,0.36354,0.35874,0.00500,0.35874,0.36124,0.36274,0.39385,0.00874,0.39385,0.39822,0.40084,15.98789,NA,NA,NA,NA,NA
2011-11-20,2011,324,7,oregonYP_2011_11_20_113921.jpg,67.28119,58.08016,38.44289,0.35457,0.41074,62.18495,3.51502,55.96170,2.40246,39.42446,1.23279,0.35509,0.00333,0.35463,0.35714,0.35887,0.39442,0.00981,0.39341,0.40091,0.40665,25.89977,NA,NA,NA,NA,NA
2011-11-21,2011,325,9,oregonYP_2011_11_21_120454.jpg,54.07168,49.14499,30.67867,0.36704,0.40384,56.05932,3.88730,50.96615,2.69062,32.60915,2.35264,0.36505,0.00256,0.36474,0.36704,0.36844,0.40133,0.01299,0.40384,0.41009,0.41319,25.67477,NA,NA,NA,NA,NA
2011-11-22,2011,326,9,oregonYP_2011_11_22_120533.jpg,87.89195,74.69100,27.43943,0.39306,0.46253,73.43086,11.78130,62.60689,9.99121,26.57036,6.62449,0.38466,0.00835,0.38588,0.38980,0.39266,0.45194,0.02886,0.46104,0.47273,0.48582,25.45508,NA,NA,NA,NA,NA
2011-11-23,2011,327,11,oregonYP_2011_11_23_120815.jpg,67.82203,55.98135,17.66859,0.39571,0.47940,86.12530,9.64846,73.24827,7.88470,29.32080,4.61041,0.38839,0.00373,0.38819,0.38949,0.39380,0.45673,0.01292,0.45738,0.46268,0.47614,25.21749,NA,NA,NA,NA,NA
2011-11-24,2011,328,14,oregonYP_2011_11_24_120556.jpg,78.19960,66.29256,29.13379,0.38181,0.45039,87.37097,12.48044,71.35779,9.04992,32.00695,7.28416,0.37487,0.00788,0.37595,0.37959,0.38369,0.45863,0.02312,0.45709,0.47794,0.48710,25.04437,NA,NA,NA,NA,NA
2011-11-25,2011,329,7,oregonYP_2011_11_25_120924.jpg,102.36200,83.77006,40.96724,0.36887,0.45074,90.87972,14.27190,75.01835,11.87521,33.23571,8.67897,0.37777,0.00708,0.37637,0.38373,0.38633,0.45792,0.01462,0.45190,0.46510,0.47837,24.81628,NA,NA,NA,NA,NA
2011-11-26,2011,330,10,oregonYP_2011_11_26_120858.jpg,75.04301,59.78573,19.51042,0.38737,0.48622,87.71890,9.10026,71.25472,7.38344,27.83908,5.75226,0.38193,0.00568,0.38045,0.38639,0.38980,0.47037,0.01338,0.47339,0.47965,0.48305,24.62971,NA,NA,NA,NA,NA
2011-11-27,2011,331,11,oregonYP_2011_11_27_113922.jpg,100.62866,79.87697,28.97058,0.38132,0.48038,90.07224,9.37414,73.66004,6.78620,29.99814,4.45520,0.38047,0.00325,0.38088,0.38137,0.38371,0.46491,0.01459,0.46324,0.47981,0.48294,24.45664,NA,NA,NA,NA,NA
2011-11-28,2011,332,10,oregonYP_2011_11_28_120644.jpg,71.49340,56.87158,15.77053,0.39457,0.49602,75.92912,4.91742,63.05541,5.45141,22.54879,6.50230,0.39083,0.00561,0.39206,0.39577,0.39687,0.47182,0.02153,0.47977,0.48991,0.49238,24.30099,NA,NA,NA,NA,NA
2011-11-29,2011,333,5,oregonYP_2011_11_29_123908.jpg,77.98724,62.72203,21.12170,0.38758,0.48191,104.36972,14.30067,85.66114,12.47341,41.64452,10.88617,0.37101,0.00839,0.36799,0.36863,0.38000,0.45284,0.01568,0.44532,0.45626,0.47165,23.40931,NA,NA,NA,NA,NA
2011-11-30,2011,334,10,oregonYP_2011_11_30_113659.jpg,94.71436,77.66032,38.29201,0.36864,0.44959,103.52195,10.10280,85.19791,8.53586,44.03317,5.49247,0.36615,0.00209,0.36616,0.36829,0.36869,0.44502,0.00446,0.44433,0.44944,0.45043,23.90107,NA,NA,NA,NA,NA
2011-12-01,2011,335,4,oregonYP_2011_12_01_113909.jpg,96.22949,77.72651,38.50102,0.36585,0.45294,99.36680,7.47689,81.07540,5.67064,41.20710,5.71222,0.36585,0.00617,0.36757,0.37005,0.37143,0.44843,0.01491,0.45527,0.45825,0.45942,23.76849,NA,NA,NA,NA,NA
2011-12-02,2011,336,11,oregonYP_2011_12_02_113833.jpg,98.28931,79.09479,38.36007,0.36661,0.45558,105.15261,8.61359,84.99990,7.73810,43.52962,4.98983,0.36374,0.00179,0.36382,0.36506,0.36541,0.45036,0.00485,0.44853,0.45311,0.45558,23.60578,NA,NA,NA,NA,NA
