#
# 3-day summary product time series for usmpj
#
# Site: usmpj
# Veg Type: EN
# ROI ID Number: 1000
# Lat: 34.43845
# Lon: -106.2543606
# Elev: 2126
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2018-08-08
# Creation Time: 17:33:12
# Update Date: 2020-08-19
# Update Time: 05:59:24
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90
2013-10-08,2013,281,9,usmpj_2013_10_09_120108.jpg,85.05500,71.32613,47.86608,0.34921,0.41643,95.78714,8.88950,81.41142,8.33697,55.96399,6.82114,0.34918,0.00025,0.34932,0.34936,0.34939,0.41125,0.00439,0.41108,0.41605,0.41665,48.97622,NA,NA,NA,NA,NA
2013-10-11,2013,284,54,usmpj_2013_10_11_120107.jpg,84.13019,70.70579,47.84342,0.34886,0.41509,91.98412,9.17066,78.13415,8.64325,53.71489,7.51995,0.34908,0.00256,0.34845,0.34926,0.35310,0.41155,0.01103,0.40972,0.41495,0.42436,48.59555,NA,NA,NA,NA,NA
2013-10-14,2013,287,54,usmpj_2013_10_14_120105.jpg,86.42221,71.23599,47.42063,0.34736,0.42141,91.78455,9.18168,77.06724,8.25297,52.84019,7.03896,0.34765,0.00171,0.34735,0.34806,0.34989,0.41448,0.01099,0.41275,0.41864,0.42360,47.46359,NA,NA,NA,NA,NA
2013-10-17,2013,290,54,usmpj_2013_10_17_120109.jpg,86.75957,71.78591,48.80174,0.34621,0.41843,96.37639,12.22067,81.60487,12.67284,59.93908,17.28338,0.34380,0.00593,0.34554,0.34620,0.34678,0.40776,0.01766,0.41176,0.41604,0.42090,46.34848,NA,NA,NA,NA,NA
2013-10-20,2013,293,54,usmpj_2013_10_20_120108.jpg,82.45982,67.30260,45.35720,0.34493,0.42261,92.91034,9.50102,77.24365,8.45222,54.16813,6.60964,0.34433,0.00072,0.34442,0.34495,0.34523,0.41448,0.00505,0.41338,0.41849,0.42215,45.25453,NA,NA,NA,NA,NA
2013-10-23,2013,296,54,usmpj_2013_10_23_120108.jpg,84.34019,68.29516,46.13004,0.34360,0.42432,93.14734,10.01333,76.60732,8.68507,53.26407,6.61104,0.34347,0.00067,0.34364,0.34401,0.34425,0.41791,0.00578,0.41737,0.42203,0.42596,44.18453,NA,NA,NA,NA,NA
2013-10-26,2013,299,53,usmpj_2013_10_26_120106.jpg,88.84704,72.19269,49.03969,0.34364,0.42292,94.32897,9.02323,77.18617,8.15795,52.62361,7.85901,0.34443,0.00209,0.34380,0.34457,0.34710,0.42156,0.01409,0.41764,0.43017,0.44292,43.14082,NA,NA,NA,NA,NA
2013-10-29,2013,302,54,usmpj_2013_10_29_120106.jpg,85.81968,66.35383,41.40715,0.34277,0.44333,92.03130,6.25464,73.02492,5.75558,47.94810,6.09303,0.34283,0.00122,0.34244,0.34336,0.34448,0.43264,0.01539,0.42824,0.44579,0.45427,42.12726,NA,NA,NA,NA,NA
2013-11-01,2013,305,54,usmpj_2013_11_01_120106.jpg,86.45009,69.65276,47.64726,0.34185,0.42429,94.61508,9.75093,77.74882,8.70753,55.34683,6.86741,0.34139,0.00077,0.34157,0.34203,0.34236,0.41585,0.00499,0.41537,0.41876,0.42362,41.14700,NA,NA,NA,NA,NA
2013-11-04,2013,308,53,usmpj_2013_11_04_120106.jpg,83.97863,66.88232,45.14132,0.34123,0.42846,94.94448,9.46999,76.64626,8.16617,53.21946,8.50510,0.34093,0.00126,0.34103,0.34142,0.34227,0.42308,0.01893,0.42247,0.43466,0.44363,40.20262,NA,NA,NA,NA,NA
